순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,송성문,키움,0.351,86,345,296,46,104,13,3,12,159,62,0,7,41,1,1,35,2,0.537,0.423,0.960,29,0.367,0.333
2,도슨,키움,0.348,84,380,342,64,119,31,2,10,184,48,0,1,32,0,5,49,9,0.538,0.411,0.949,37,0.323,0.5
3,김혜성,키움,0.337,78,350,312,57,105,20,3,10,161,51,0,3,31,1,4,28,6,0.516,0.400,0.916,29,0.395,0.0
4,고영우,키움,0.297,61,189,165,16,49,8,0,0,57,21,2,2,20,0,0,40,2,0.345,0.369,0.714,12,0.357,0.25
5,이용규,키움,0.293,47,180,147,18,43,3,1,1,51,9,3,1,24,0,5,28,3,0.347,0.407,0.754,9,0.179,0.5
6,김건희,키움,0.278,34,98,90,11,25,3,0,1,31,13,0,1,7,0,0,36,4,0.344,0.327,0.671,6,0.346,0.143
7,이주형,키움,0.275,59,272,236,45,65,9,2,7,99,31,0,1,29,1,6,60,2,0.419,0.368,0.787,16,0.254,0.0
8,원성준,키움,0.275,16,43,40,6,11,4,0,1,18,5,0,1,2,0,0,17,0,0.450,0.302,0.752,3,0.25,0.4
9,임병욱,키움,0.267,24,48,45,7,12,1,0,1,16,5,0,0,3,0,0,15,1,0.356,0.313,0.669,1,0.444,0.4
10,변상권,키움,0.257,42,114,105,7,27,1,0,3,37,12,0,1,8,0,0,26,3,0.352,0.307,0.659,8,0.217,0.214
11,김재현,키움,0.253,73,224,198,21,50,10,0,0,60,24,6,4,9,0,7,43,5,0.303,0.303,0.606,9,0.241,0.0
12,주성원,키움,0.233,20,48,43,7,10,1,0,1,14,5,1,0,4,0,0,14,2,0.326,0.298,0.624,1,0.3,0.2
13,최주환,키움,0.228,78,319,289,26,66,13,0,6,97,42,0,6,21,1,3,54,9,0.336,0.282,0.618,18,0.232,0.0
14,이원석,키움,0.220,39,109,91,5,20,4,0,0,24,8,0,2,14,0,2,18,2,0.264,0.330,0.594,5,0.185,0.25
15,이재상,키움,0.219,29,77,73,7,16,1,0,1,20,5,1,0,1,0,2,28,0,0.274,0.250,0.524,4,0.143,0.0
16,이형종,키움,0.216,28,105,88,19,19,3,0,4,34,17,0,0,16,0,1,21,1,0.386,0.343,0.729,3,0.409,0.0
17,장재영,키움,0.213,17,57,47,7,10,2,0,1,15,4,0,0,8,0,2,26,2,0.319,0.351,0.670,2,0.273,0.0
18,박수종,키움,0.206,43,71,63,11,13,1,0,0,14,3,1,0,5,0,2,5,1,0.222,0.286,0.508,3,0.214,0.0
19,김태진,키움,0.202,37,94,89,7,18,3,0,0,21,3,2,0,3,1,0,12,0,0.236,0.228,0.464,4,0.182,0.154
20,김동헌,키움,0.200,2,7,5,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0.200,0.429,0.629,0,1.0,0.0
20,김주형,키움,0.200,15,15,10,0,2,0,0,0,2,1,1,0,1,0,3,5,0,0.200,0.429,0.629,0,0.5,0.0
22,김시앙,키움,0.143,6,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.143,0.143,0.286,0,0.0,0.0
23,박성빈,키움,0.125,6,9,8,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0.125,0.222,0.347,0,0.0,0.0
24,임지열,키움,0.102,22,57,49,4,5,0,0,1,8,5,0,1,7,0,0,16,2,0.163,0.211,0.374,1,0.0,0.0
25,김웅빈,키움,0.077,6,18,13,1,1,0,0,0,1,1,1,0,3,0,1,6,0,0.077,0.294,0.371,0,0.0,0.0
26,김병휘,키움,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김선기,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김연주,키움,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김윤하,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김재웅,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,문성현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,박주홍,키움,0.000,3,7,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.143,0.143,0,0.0,0.0
26,박준형,키움,0.000,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
26,송지후,키움,0.000,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
26,신준우,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,양지율,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,이승원,키움,0.000,3,5,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
26,주승우,키움,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
