순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,전다민,두산,0.353,13,23,17,6,6,1,0,0,7,1,0,0,6,0,0,6,0,0.412,0.522,0.934,0,0.375,0.5
2,양의지,두산,0.342,82,345,310,40,106,12,0,12,154,73,0,6,23,3,6,34,9,0.497,0.391,0.888,30,0.434,0.5
3,허경민,두산,0.340,78,325,285,50,97,18,0,6,133,46,0,5,23,0,12,18,6,0.467,0.406,0.873,29,0.319,0.667
4,홍성호,두산,0.333,13,13,12,0,4,2,0,0,6,1,0,0,1,0,0,5,0,0.500,0.385,0.885,0,0.167,0.25
5,라모스,두산,0.308,77,336,299,42,92,17,3,10,145,47,1,6,27,1,3,55,5,0.485,0.364,0.849,26,0.264,0.0
6,강승호,두산,0.286,94,383,353,51,101,24,6,13,176,54,1,3,22,3,4,107,3,0.499,0.332,0.831,27,0.27,0.333
7,서예일,두산,0.286,15,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0.286,0.286,0.572,1,0.667,0.0
8,정수빈,두산,0.279,88,383,323,64,90,12,3,3,117,28,6,6,42,1,6,43,5,0.362,0.366,0.728,27,0.267,0.0
9,전민재,두산,0.276,64,157,145,22,40,5,0,2,51,20,2,1,8,0,1,31,6,0.352,0.316,0.668,12,0.343,0.0
10,조수행,두산,0.275,85,245,211,42,58,2,2,0,64,16,8,3,23,1,0,31,2,0.303,0.342,0.645,16,0.193,0.4
11,이유찬,두산,0.275,62,117,102,21,28,3,0,1,34,7,1,0,13,0,1,24,4,0.333,0.362,0.695,7,0.233,0.333
12,김재환,두산,0.265,89,364,313,44,83,19,0,17,153,62,0,8,38,3,5,113,7,0.489,0.346,0.835,16,0.221,0.667
13,김기연,두산,0.262,53,158,141,20,37,5,0,3,51,16,1,2,12,0,2,23,4,0.362,0.325,0.687,9,0.278,0.167
14,김재호,두산,0.250,29,69,56,6,14,4,0,0,18,3,2,1,9,0,1,10,2,0.321,0.358,0.679,3,0.5,0.0
14,양석환,두산,0.250,93,382,344,51,86,18,1,20,166,65,0,2,33,1,3,81,13,0.483,0.319,0.802,27,0.283,0.667
14,윤준호,두산,0.250,3,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.0,0.0
17,박준영,두산,0.232,53,178,155,22,36,7,2,5,62,21,1,1,18,0,3,48,0,0.400,0.322,0.722,7,0.189,1.0
18,김민혁,두산,0.200,5,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0.800,0.500,1.300,0,0.0,0.0
18,박계범,두산,0.200,24,20,15,5,3,1,0,0,4,0,0,0,5,0,0,7,2,0.267,0.400,0.667,0,0.0,0.0
18,안승한,두산,0.200,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
18,장승현,두산,0.200,9,23,20,1,4,2,0,0,6,0,1,0,2,0,0,5,0,0.300,0.273,0.573,1,0.0,0.0
22,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1,2,0,0,7,1,0.304,0.231,0.535,0,0.167,0.0
23,김대한,두산,0.139,54,86,72,9,10,1,0,1,14,7,2,2,8,0,2,25,1,0.194,0.238,0.432,1,0.158,0.0
24,김태근,두산,0.095,29,24,21,3,2,0,0,0,2,1,1,0,0,0,2,10,0,0.095,0.174,0.269,0,0.333,0.0
25,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김호준,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,박민준,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
25,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,박치국,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,양찬열,두산,0.000,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
25,오명진,두산,0.000,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.000,0.500,0.500,0,0.0,0.0
25,이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,최지강,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,홍건희,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
